id|matter|injection_params|weight|size|is_defect|platemark|type|price_before_takeoff|price_after_discount
Т130013978|Золото|None|1.72|15|0|585|obruchalnye|756.8|340.56
Т130013978|Золото|None|2.35|22,5|0|585|obruchalnye|1034|465.30
Т130013978|Золото|None|1.82|16|0|585|obruchalnye|1040|468.00
Т130013978|Золото|None|1.82|16|0|585|obruchalnye|1040|468.00
Т130013978|Золото|None|2.42|22,5|0|585|obruchalnye|1382.86|622.29
Т130013978|Золото|None|1.7|16|0|585|obruchalnye|748|336.60
Т130013978|Золото|None|1.7|16|0|585|obruchalnye|971.43|437.14
Т130013978|Золото|None|2.25|22|0|585|obruchalnye|990|445.50
Т130013978|Золото|None|2.43|22,5|0|585|obruchalnye|1069.2|481.14
Т130013978|Золото|None|1.65|15|0|585|obruchalnye|726|326.70
Т130013978|Золото|None|2.55|22,5|0|585|obruchalnye|1122|504.90
Т130013978|Золото|None|1.55|15|0|585|obruchalnye|682|306.90
Т130013978|Золото|None|1.82|15,5|0|585|obruchalnye|800.8|360.36
Т130013978|Золото|None|1.81|16|0|585|obruchalnye|1034.29|465.43
Т130013978|Золото|None|1.86|15|0|585|obruchalnye|818.4|368.28
Т130013978|Золото|None|1.61|15|0|585|obruchalnye|708.4|318.78
Т130013978|Золото|None|1.68|15,5|0|585|obruchalnye|739.2|332.64
Т130013978|Золото|None|2.55|21,5|0|585|obruchalnye|1122|504.90
Т130013978|Золото|None|1.66|16|1|585|obruchalnye|948.57|303.54
Т130013978|Золото|None|1.56|15|0|585|obruchalnye|891.43|401.14
Т130013978|Золото|None|1.65|16|0|585|obruchalnye|942.86|424.29
Т130013978|Золото|None|1.74|16|0|585|obruchalnye|994.29|447.43
Т130013978|Золото|None|1.98|16|0|585|obruchalnye|1131.43|509.14
Т130013978|Золото|None|2.29|22,5|0|585|obruchalnye|1308.57|588.86
Т130013978|Золото|None|2.07|17,5|0|585|obruchalnye|1182.86|532.29
Т130013978|Золото|None|2.74|21,5|0|585|obruchalnye|1565.72|704.57
П7412-001К14|Золото|None|1.73|15,5|0|585|obruchalnye|988.57|444.86
П7412-001К14|Золото|None|1.77|15,5|0|585|obruchalnye|1011.43|455.14
П7412-001К14|Золото|None|1.77|15,5|0|585|obruchalnye|1011.43|455.14
П7412-001К14|Золото|None|1.84|16,5|0|585|obruchalnye|1051.43|473.14
П7412-001К14|Золото|None|1.85|18|0|585|obruchalnye|1057.15|475.72
П7412-001К14|Золото|None|1.93|16,5|0|585|obruchalnye|992.58|446.66
П7412-001К14|Золото|None|1.98|18|0|585|obruchalnye|1131.43|509.14
П7412-001К14|Золото|None|1.99|18|0|585|obruchalnye|1137.15|511.72
П7412-001К14|Золото|None|1.99|18|0|585|obruchalnye|1137.15|511.72
П7412-001К14|Золото|None|2.04|18|0|585|obruchalnye|1025.83|461.62
П7412-001К14|Золото|None|2.08|18|0|585|obruchalnye|1045.93|470.67
П7412-001К14|Золото|None|1.68|15,5|0|585|obruchalnye|960|432.00
П7412-001К14|Золото|None|1.72|16|0|585|obruchalnye|982.86|442.29
П7412-001К14|Золото|None|1.75|15,5|0|585|obruchalnye|1000|450.00
П7412-001К14|Золото|None|1.75|15,5|0|585|obruchalnye|1000|450.00
П7412-001К14|Золото|None|1.78|16|0|585|obruchalnye|1017.15|457.72
П7412-001К14|Золото|None|1.78|16|0|585|obruchalnye|1017.15|457.72
П7412-001К14|Золото|None|1.78|16|0|585|obruchalnye|1017.15|457.72
П7412-001К14|Золото|None|1.85|16|0|585|obruchalnye|843.08|379.39
П7412-001К14|Золото|None|1.88|17,5|0|585|obruchalnye|1074.29|483.43
П7412-001К14|Золото|None|1.88|17,5|0|585|obruchalnye|1074.29|483.43
П7412-001К14|Золото|None|1.89|17|0|585|obruchalnye|1080|486.00
П7412-001К14|Золото|None|1.9|17|0|585|obruchalnye|1004.28|451.93
П7412-001К14|Золото|None|1.9|17|0|585|obruchalnye|1085.72|488.57
П7412-001К14|Золото|None|1.9|17,5|0|585|obruchalnye|1085.72|488.57
П7412-001К14|Золото|None|1.95|16,5|0|585|obruchalnye|1114.29|501.43
П7412-001К14|Золото|None|1.95|17,5|0|585|obruchalnye|1114.29|501.43
П7412-001К14|Золото|None|1.96|17,5|0|585|obruchalnye|1120|504.00
П7412-001К14|Золото|None|1.97|16,5|0|585|obruchalnye|1125.72|506.57
П7412-001К14|Золото|None|1.97|17|0|585|obruchalnye|1125.72|506.57
П7412-001К14|Золото|None|1.98|17,5|0|585|obruchalnye|1131.43|509.14
П7412-001К14|Золото|None|2|17|0|585|obruchalnye|1142.86|514.29
П7412-001К14|Золото|None|2|17|0|585|obruchalnye|1142.86|514.29
П7412-001К14|Золото|None|2|17|0|585|obruchalnye|1142.86|514.29
П7412-001К14|Золото|None|2.03|17|0|585|obruchalnye|1160|522.00
П7412-001К14|Золото|None|2.04|17,5|0|585|obruchalnye|929.67|418.35
П7412-001К14|Золото|None|2.05|17|0|585|obruchalnye|1171.43|527.14
П7412-001К14|Золото|None|2.06|17|0|585|obruchalnye|1177.15|529.72
П7412-001К14|Золото|None|2.06|17|0|585|obruchalnye|1177.15|529.72
П7412-001К14|Золото|None|2.06|17|0|585|obruchalnye|1177.15|529.72
П7412-001К14|Золото|None|2.06|17|0|585|obruchalnye|1177.15|529.72
П7412-001К14|Золото|None|1.8|16|0|585|obruchalnye|1028.57|462.86
П7412-001К14|Золото|None|1.8|16|0|585|obruchalnye|1028.57|462.86
П7412-001К14|Золото|None|1.96|17|0|585|obruchalnye|1120|504.00
П7412-001К14|Золото|None|1.79|15,5|0|585|obruchalnye|1022.86|460.29
П7412-001К14|Золото|None|1.79|15,5|0|585|obruchalnye|1022.86|460.29
П7412-001К14|Золото|None|1.79|15,5|0|585|obruchalnye|1022.86|460.29
П7412-001К14|Золото|None|1.85|16,5|0|585|obruchalnye|1057.15|475.72
П7412-001К14|Золото|None|1.85|16,5|0|585|obruchalnye|1057.15|475.72
П7412-001К14|Золото|None|1.97|18|0|585|obruchalnye|1125.72|506.57
П7412-001К14|Золото|None|1.75|16|0|585|obruchalnye|1000|450.00
П7412-001К14|Золото|None|1.75|16|0|585|obruchalnye|1000|450.00
П7412-001К14|Золото|None|1.75|16|0|585|obruchalnye|1000|450.00
П7412-001К14|Золото|None|1.75|16|0|585|obruchalnye|1000|450.00
П7412-001К14|Золото|None|1.76|16|0|585|obruchalnye|1005.72|452.57
П7412-001К14|Золото|None|1.86|16,5|0|585|obruchalnye|1062.86|478.29
П7412-001К14|Золото|None|1.92|15,5|0|585|obruchalnye|935.33|420.90
П7412-001К14|Золото|None|1.92|15,5|0|585|obruchalnye|935.33|420.90
П7412-001К14|Золото|None|1.81|18|0|585|obruchalnye|1034.29|465.43
П7412-001К14|Золото|None|1.89|15|0|585|obruchalnye|1080|486.00
П7412-001К14|Золото|None|1.94|17,5|0|585|obruchalnye|1108.57|498.86
П7412-001К14|Золото|None|1.89|15,5|0|585|obruchalnye|861.31|387.59
П7412-001К14|Золото|None|1.9|16,5|0|585|obruchalnye|1085.72|488.57
П7412-001К14|Золото|None|1.9|16,5|0|585|obruchalnye|1085.72|488.57
П7412-001К14|Золото|None|1.93|17|0|585|obruchalnye|1102.86|496.29
П7412-001К14|Золото|None|1.87|16,5|0|585|obruchalnye|1068.57|480.86
П7412-001К14|Золото|None|1.87|16,5|0|585|obruchalnye|1068.57|480.86
П7412-001К14|Золото|None|1.87|16,5|0|585|obruchalnye|1068.57|480.86
П7412-001К14|Золото|None|1.89|18|0|585|obruchalnye|1052.99|473.85
П7412-001К14|Золото|None|1.84|15|0|585|obruchalnye|1051.43|473.14
П7412-001К14|Золото|None|1.99|17,5|0|585|obruchalnye|1137.15|511.72
П7412-001К14|Золото|None|1.99|17,5|0|585|obruchalnye|1051.85|473.33
П7412-001К14|Золото|None|1.87|15,5|0|585|obruchalnye|910.97|348.62
П7412-001К14|Золото|None|1.87|15,5|0|585|obruchalnye|910.97|409.94
П7412-001К14|Золото|None|1.87|15,5|0|585|obruchalnye|910.97|409.94
П7412-001К14|Золото|None|2.11|18|0|585|obruchalnye|1175.57|529.01
П7412-001К14|Золото|None|2.11|18|0|585|obruchalnye|1205.72|542.57
П7412-001К14|Золото|None|1.88|16|0|585|obruchalnye|1074.29|483.43
П7412-001К14|Золото|None|1.88|16|0|585|obruchalnye|966.87|435.09
П7412-001К14|Золото|None|1.95|16|0|585|obruchalnye|1114.29|501.43
П7412-001К14|Золото|None|1.78|15,5|0|585|obruchalnye|991.71|446.27
П7412-001К14|Золото|None|2.1|17|0|585|obruchalnye|1200|540.00
П7412-001К14|Золото|None|1.66|15,5|0|585|obruchalnye|948.57|426.86
П7412-001К14|Золото|None|2.19|18|0|585|obruchalnye|1251.43|563.14
П7412-001К14|Золото|None|2.19|18|0|585|obruchalnye|1251.43|563.14
П7412-001К14|Золото|None|1.83|15|0|585|obruchalnye|891.47|401.16
П7412-001К14|Золото|None|1.72|15|0|585|obruchalnye|864.9|389.21
П7412-001К14|Золото|None|1.45|15,5|0|585|obruchalnye|745.72|335.57
П7412-001К14|Золото|None|1.69|15|0|585|obruchalnye|893.28|401.98
П7412-001К14|Золото|None|1.53|15,5|0|585|obruchalnye|874.29|393.43
П7412-001К14|Золото|None|2.09|16,5|0|585|obruchalnye|1194.29|537.43
П7412-001К14|Золото|None|2.28|18|0|585|obruchalnye|1302.86|586.29
П7412-001К14|Золото|None|2.28|18|0|585|obruchalnye|1302.86|586.29
П7412-001К14|Золото|None|2.05|17,5|0|585|obruchalnye|1171.43|527.14
П7412-001К14|Золото|None|1.73|18|0|585|obruchalnye|988.57|444.86
П7412-001К14|Золото|None|1.71|15|0|585|obruchalnye|977.15|439.72
П7412-001К14|Золото|None|1.74|15,5|0|585|obruchalnye|994.29|447.43
П7412-001К14|Золото|None|1.77|15|0|585|obruchalnye|1011.43|455.14
П7412-001К14|Золото|None|1.71|15,5|0|585|obruchalnye|977.15|439.72
П7412-001К14|Золото|None|2.07|18|0|585|obruchalnye|1182.86|532.29
П7412-001К14|Золото|None|2.07|18|0|585|obruchalnye|1182.86|532.29
П7412-001К14|Золото|None|1.87|16|0|585|obruchalnye|1068.57|480.86
П7412-001К14|Золото|None|1.87|16|0|585|obruchalnye|1068.57|480.86
П7412-001К14|Золото|None|1.87|16|0|585|obruchalnye|1068.57|480.86
П7412-001К14|Золото|None|1.87|16|0|585|obruchalnye|1068.57|480.86
П7412-001К14|Золото|None|2.06|16,5|0|585|obruchalnye|1177.15|529.72
П7412-001К14|Золото|None|1.96|17|0|585|obruchalnye|1120|504.00
П7412-001К14|Золото|None|2.03|18|0|585|obruchalnye|1160|522.00
П7412-001К14|Золото|None|2.1|16,5|0|585|obruchalnye|1200|540.00
