,matter,injection_params,weight,size,is_defect,platemark,type,price_before_takeoff
9665,silver,None,2.45,15.0,0,925,decorative,154.77
9666,silver,None,2.5,18.5,0,925,decorative,157.98
9667,silver,None,2.37,18.5,0,925,decorative,149.71
9668,silver,None,2.17,16.5,0,925,decorative,137.1
9669,silver,None,2.38,17.5,0,925,decorative,150.34
9670,silver,None,2.57,15.5,0,925,decorative,162.32
9672,silver,None,2.35,19.5,0,925,decorative,152.37
9673,silver,None,2.36,17.5,0,925,decorative,153.0
9674,silver,None,2.36,19.5,0,925,decorative,153.0
9675,silver,None,2.39,19.0,0,925,decorative,154.97
9676,silver,None,2.55,15.5,0,925,decorative,165.34
9678,silver,None,2.38,19.0,0,925,decorative,154.34
9679,silver,1 Фианит бесцветный Круг 6,2.08,17.0,0,925,engagement,341.91
9680,gold,None,4.04,21.5,0,585,pechatki,2075.27
9681,gold,None,3.68,19.5,1,585,pechatki,2054.25
9682,gold,"32 Бр Круг 17 0,113 2/3А; 1 0,372 Сапфир Круг 4,5 2/2",2.05,17.0,0,585,decorative,1378.4
9683,gold,"32 Бр Круг 17 0,113 2/3А; 1 0,372 Сапфир Круг 4,5 2/2",1.99,17.0,0,585,decorative,1339.75
9684,gold,"32 Бр Круг 17 0,113 2/3А; 1 0,372 Сапфир Круг 4,5 2/2",1.92,16.5,0,585,decorative,1543.55
9691,gold,8 Бриллиант Кр-57-0.11ct-2/5А. 1 Бриллиант Кр-57-0.09ct-3/5А.,3.99,19.0,0,585,engagement,2565.77
9692,gold,5 Фианит SW Граф Орлов недраг Круг 3,1.41,17.0,0,585,decorative,663.35
9693,gold,5 Фианит SW Граф Орлов недраг Круг 3,1.44,17.0,0,585,decorative,677.49
9694,gold,5 Фианит SW Граф Орлов недраг Круг 3,1.39,17.5,0,585,decorative,660.83
9696,silver,None,1.89,17.0,0,925,decorative,116.86
9697,silver,None,1.83,18.0,0,925,decorative,113.13
9698,silver,None,1.86,18.0,0,925,decorative,115.0
9700,gold,"1 Фианит б/ц Круг 4,5; 20 Фианит б/ц Круг 1",1.63,17.0,0,585,decorative,772.29
