,matter,injection_params,weight,size,is_defect,platemark,type,price_before_takeoff,price_after_discount
82,gold,None,1.9,19.0,0,375,wedding,787.15,354.22
83,gold,None,2.19,22.5,0,375,wedding,907.3,408.29
84,gold,None,2.1,21.5,0,375,wedding,870.01,391.50
85,gold,None,2.0,20.5,0,375,wedding,828.58,372.86
86,gold,None,1.75,17.5,0,375,wedding,725.01,326.25
87,gold,None,2.27,22.0,0,375,wedding,940.44,423.20
88,gold,None,2.23,22.0,0,375,wedding,923.87,415.74
89,gold,None,1.6,16.0,0,375,wedding,662.86,298.29
90,gold,"15 Бр Круг 17 0,081 2/3А",0.72,16.5,0,585,decorative,677.66,508.25
91,gold,"15 Бр Круг 17 0,081 2/3А",0.8,17.5,0,585,decorative,756.42,567.32
92,gold,"15 Бр Круг 17 0,081 2/3А",0.69,16.5,0,585,decorative,660.27,495.20
93,gold,"15 Бр Круг 17 0,081 2/3А",0.7,16.5,0,585,decorative,678.39,508.79
94,gold,"15 Бр Круг 17 0,081 2/3А",0.74,16.0,0,585,decorative,687.71,515.78
95,gold,"15 Бр Круг 17 0,081 2/3А",0.64,15.5,0,585,decorative,614.36,460.77
96,gold,"15 Бр Круг 17 0,081 2/3А",0.66,15.0,0,585,decorative,671.68,503.76
97,gold,"15 Бр Круг 17 0,081 2/3А",0.71,15.0,0,585,decorative,663.12,497.34
98,gold,"15 Бр Круг 17 0,081 2/3А",0.72,15.0,0,585,decorative,673.65,505.24
99,gold,"15 Бр Круг 17 0,081 2/3А",0.75,15.0,0,585,decorative,697.81,523.36
100,gold,"15 Бр Круг 17 0,081 2/3А",0.77,16.0,0,585,decorative,705.06,528.80
101,gold,"15 Бр Круг 17 0,081 2/3А",0.77,16.0,0,585,decorative,724.29,543.22
102,gold,"15 Бр Круг 17 0,081 2/3А",0.63,16.5,0,585,decorative,627.15,470.36
103,gold,"15 Бр Круг 17 0,081 2/3А",0.65,17.0,0,585,decorative,643.6,482.70
104,gold,"15 Бр Круг 17 0,081 2/3А",0.65,17.0,0,585,decorative,646.99,485.24
105,gold,"15 Бр Круг 17 0,081 2/3А",0.66,16.5,0,585,decorative,635.44,476.58
106,gold,"15 Бр Круг 17 0,081 2/3А",0.67,16.5,0,585,decorative,632.27,474.20
107,gold,"15 Бр Круг 17 0,081 2/3А",0.67,16.5,0,585,decorative,640.41,480.31
108,gold,"15 Бр Круг 17 0,081 2/3А",0.67,16.5,0,585,decorative,642.76,482.07
109,gold,"15 Бр Круг 17 0,081 2/3А",0.67,16.5,0,585,decorative,645.95,484.46
110,gold,"15 Бр Круг 17 0,081 2/3А",0.67,17.0,0,585,decorative,644.8,483.60
111,gold,"15 Бр Круг 17 0,081 2/3А",0.68,16.5,0,585,decorative,645.99,484.49
112,gold,"15 Бр Круг 17 0,081 2/3А",0.69,17.0,0,585,decorative,656.94,492.71
113,gold,"15 Бр Круг 17 0,081 2/3А",0.69,17.0,0,585,decorative,661.01,495.76
114,gold,"15 Бр Круг 17 0,081 2/3А",0.69,17.0,0,585,decorative,648.59,486.44
115,gold,"15 Бр Круг 17 0,081 2/3А",0.72,17.0,0,585,decorative,682.12,511.59
116,gold,"15 Бр Круг 17 0,081 2/3А",0.73,16.0,0,585,decorative,673.44,505.08
117,gold,"15 Бр Круг 17 0,081 2/3А",0.73,17.0,0,585,decorative,689.15,516.86
118,gold,"15 Бр Круг 17 0,081 2/3А",0.74,17.0,0,585,decorative,695.79,521.84
119,gold,"15 Бр Круг 17 0,081 2/3А",0.75,17.0,0,585,decorative,702.82,527.11
120,gold,"15 Бр Круг 17 0,081 2/3А",0.75,17.0,0,585,decorative,687.2,515.40
121,gold,"15 Бр Круг 17 0,081 2/3А",0.73,16.0,0,585,decorative,696.49,522.37
122,gold,"15 Бр Круг 17 0,081 2/3А",0.75,16.5,0,585,decorative,702.82,527.12
123,gold,"15 Бр Круг 17 0,081 2/3А",0.67,15.5,0,585,decorative,635.52,476.64
124,gold,"15 Бр Круг 17 0,081 2/3А",0.7,16.5,0,585,decorative,664.88,498.66
125,gold,None,3.24,21.5,0,375,wedding,1342.3,604.04
126,gold,None,3.2,22.5,0,375,wedding,1325.73,596.58
127,gold,None,3.2,22.5,0,375,wedding,1325.73,596.58
128,gold,None,3.21,22.5,0,375,wedding,1329.87,598.44
129,gold,None,3.27,22.0,0,375,wedding,1354.73,609.63
130,gold,None,3.3,23.0,0,375,wedding,1367.16,615.22
