,id,matter,weight,size,is_defect,platemark,type,price_before_takeoff
135,Т200013731,gold,2.39,16.5,0,375,wedding,990.15
136,Т200013731,gold,2.19,15.5,0,375,wedding,907.3
137,Т200013731,gold,3.16,21.5,0,375,wedding,1309.16
138,Т200013731,gold,3.31,23.0,0,375,wedding,1371.3
139,Т200013731,gold,2.67,18.0,0,375,wedding,1106.15
140,Т200013731,gold,3.36,22.0,0,375,wedding,1392.01
141,Т200013731,gold,3.46,22.5,0,375,wedding,1433.44
142,Т200013731,gold,3.57,23.0,0,375,wedding,1479.02
143,Т200013731,gold,3.2,22.5,0,375,wedding,1325.73
144,Т200013731,gold,3.33,23.0,0,375,wedding,1379.59
145,Т200013731,gold,3.14,21.0,0,375,wedding,1300.87
146,Т200013731,gold,2.56,16.5,0,375,wedding,1060.58
147,Т200013731,gold,2.71,18.0,0,375,wedding,1122.73
148,Т200013731,gold,3.07,20.5,0,375,wedding,1271.87
149,Т10001225,gold,2.23,15.5,0,585,wedding,946.14
150,Т10001225,gold,2.23,15.5,0,585,wedding,946.14
151,Т10001225,gold,2.25,16.0,0,585,wedding,954.63
152,Т10001225,gold,2.25,16.0,0,585,wedding,954.63
153,Т10001225,gold,3.01,21.5,0,585,wedding,1277.08
154,Т10001225,gold,2.15,15.0,0,585,wedding,912.2
155,Т10001225,gold,2.15,15.0,0,585,wedding,912.2
156,Т10001225,gold,2.35,17.0,0,585,wedding,997.06
157,Т10001225,gold,2.16,15.0,0,585,wedding,916.44
158,Т10001225,gold,2.16,15.0,0,585,wedding,1203.42
159,Т10001225,gold,2.36,17.0,0,585,wedding,1001.3
160,Т10001225,gold,2.46,18.0,0,585,wedding,1043.73
161,Т10001225,gold,2.38,16.5,0,585,wedding,1009.79
162,Т10001225,gold,3.03,21.5,0,585,wedding,1285.57
163,Т10001225,gold,2.31,16.0,0,585,wedding,980.09
164,Т10001225,gold,2.09,16.0,0,585,wedding,1164.42
165,Т10001225,gold,2.1,16.0,0,585,wedding,890.99
166,Т10001225,gold,2.23,16.5,0,585,wedding,946.14
167,Т10001225,gold,3.0,23.0,0,585,wedding,1272.84
168,Т10001225,gold,2.1,15.0,0,585,wedding,890.99
169,Т10001225,gold,2.19,16.5,0,585,wedding,929.17
170,Т10001225,gold,3.07,23.0,0,585,wedding,1302.54
171,Т10001225,gold,2.05,15.5,0,585,wedding,869.77
172,Т10001225,gold,2.05,15.5,0,585,wedding,869.77
173,Т10001225,gold,2.16,16.0,0,585,wedding,916.44
174,Т10001225,gold,2.18,16.5,0,585,wedding,924.93
175,Т10001225,gold,2.2,16.5,0,585,wedding,933.42
176,Т10001225,gold,2.08,15.5,0,585,wedding,882.5
177,Т10001225,gold,2.08,15.5,0,585,wedding,882.5
178,Т10001225,gold,2.08,16.0,0,585,wedding,882.5
179,Т10001225,gold,3.02,23.0,0,585,wedding,1281.33
180,Т10001225,gold,2.45,18.0,0,585,wedding,1039.49
181,Т10001225,gold,2.45,18.0,0,585,wedding,1039.49
182,Т10001225,gold,2.31,16.5,0,585,wedding,980.09
183,Т10001225,gold,2.32,16.5,0,585,wedding,984.33
184,Т10001225,gold,3.0,22.0,0,585,wedding,1272.84
185,Т10001225,gold,1.94,15.0,0,585,wedding,823.1
186,Т10001225,gold,2.24,15.0,0,585,wedding,1247.99
187,Т10001225,gold,2.74,21.0,0,585,wedding,1526.56
188,Т10001225,gold,2.05,15.0,0,585,wedding,1142.14
189,Т10001225,gold,2.0,15.0,0,585,wedding,1114.28
190,Т107017273,gold,0.64,16.5,0,585,engagement,442.58
191,Т130013978,gold,2.65,22.5,0,585,wedding,1166.0
192,Т130013978,gold,1.79,15.0,0,585,wedding,787.6
193,Т130013978,gold,1.75,15.0,0,585,wedding,770.0
194,Т130013978,gold,1.75,15.0,0,585,wedding,770.0
195,Т130013978,gold,1.83,15.0,0,585,wedding,805.2
196,Т130013978,gold,1.72,15.0,0,585,wedding,756.8
197,Т130013978,gold,2.35,22.5,0,585,wedding,1034.0
198,Т130013978,gold,1.82,16.0,0,585,wedding,1040.0
199,Т130013978,gold,1.82,16.0,0,585,wedding,1040.0
200,Т130013978,gold,2.42,22.5,0,585,wedding,1382.86
201,Т130013978,gold,1.7,16.0,0,585,wedding,748.0
202,Т130013978,gold,1.7,16.0,0,585,wedding,971.43
203,Т130013978,gold,2.25,22.0,0,585,wedding,990.0
204,Т130013978,gold,2.43,22.5,0,585,wedding,1069.2
205,Т130013978,gold,1.65,15.0,0,585,wedding,726.0
206,Т130013978,gold,2.55,22.5,0,585,wedding,1122.0
207,Т130013978,gold,1.55,15.0,0,585,wedding,682.0
208,Т130013978,gold,1.82,15.5,0,585,wedding,800.8
209,Т130013978,gold,1.81,16.0,0,585,wedding,1034.29
210,Т130013978,gold,1.86,15.0,0,585,wedding,818.4
211,Т130013978,gold,1.61,15.0,0,585,wedding,708.4
212,Т130013978,gold,1.68,15.5,0,585,wedding,739.2
213,Т130013978,gold,2.55,21.5,0,585,wedding,1122.0
214,Т130013978,gold,1.66,16.0,1,585,wedding,948.57
215,Т130013978,gold,1.56,15.0,0,585,wedding,891.43
216,Т130013978,gold,1.65,16.0,0,585,wedding,942.86
217,Т130013978,gold,1.74,16.0,0,585,wedding,994.29
218,Т130013978,gold,1.98,16.0,0,585,wedding,1131.43
219,Т130013978,gold,2.29,22.5,0,585,wedding,1308.57
220,Т130013978,gold,2.07,17.5,0,585,wedding,1182.86
221,Т130013978,gold,2.74,21.5,0,585,wedding,1565.72
222,П7412-001К14,gold,1.73,15.5,0,585,wedding,988.57
223,П7412-001К14,gold,1.77,15.5,0,585,wedding,1011.43
224,П7412-001К14,gold,1.77,15.5,0,585,wedding,1011.43
225,П7412-001К14,gold,1.84,16.5,0,585,wedding,1051.43
226,П7412-001К14,gold,1.85,18.0,0,585,wedding,1057.15
227,П7412-001К14,gold,1.93,16.5,0,585,wedding,992.58
228,П7412-001К14,gold,1.98,18.0,0,585,wedding,1131.43
229,П7412-001К14,gold,1.99,18.0,0,585,wedding,1137.15
230,П7412-001К14,gold,1.99,18.0,0,585,wedding,1137.15
231,П7412-001К14,gold,2.04,18.0,0,585,wedding,1025.83
232,П7412-001К14,gold,2.08,18.0,0,585,wedding,1045.93
233,П7412-001К14,gold,1.68,15.5,0,585,wedding,960.0
234,П7412-001К14,gold,1.72,16.0,0,585,wedding,982.86
235,П7412-001К14,gold,1.75,15.5,0,585,wedding,1000.0
236,П7412-001К14,gold,1.75,15.5,0,585,wedding,1000.0
237,П7412-001К14,gold,1.78,16.0,0,585,wedding,1017.15
238,П7412-001К14,gold,1.78,16.0,0,585,wedding,1017.15
239,П7412-001К14,gold,1.78,16.0,0,585,wedding,1017.15
240,П7412-001К14,gold,1.85,16.0,0,585,wedding,843.08
241,П7412-001К14,gold,1.88,17.5,0,585,wedding,1074.29
242,П7412-001К14,gold,1.88,17.5,0,585,wedding,1074.29
243,П7412-001К14,gold,1.89,17.0,0,585,wedding,1080.0
244,П7412-001К14,gold,1.9,17.0,0,585,wedding,1004.28
245,П7412-001К14,gold,1.9,17.0,0,585,wedding,1085.72
246,П7412-001К14,gold,1.9,17.5,0,585,wedding,1085.72
247,П7412-001К14,gold,1.95,16.5,0,585,wedding,1114.29
248,П7412-001К14,gold,1.95,17.5,0,585,wedding,1114.29
249,П7412-001К14,gold,1.96,17.5,0,585,wedding,1120.0
250,П7412-001К14,gold,1.97,16.5,0,585,wedding,1125.72
251,П7412-001К14,gold,1.97,17.0,0,585,wedding,1125.72
252,П7412-001К14,gold,1.98,17.5,0,585,wedding,1131.43
