артикул;материал;вес;размер;есть_дефект;проба;тип;цена_до_скидки
Т200013731;Золото;2.67;18;0;375;obruchalnye;1106.15
Т200013731;Золото;3.36;22;0;375;obruchalnye;1392.01
Т200013731;Золото;3.46;22,5;0;375;obruchalnye;1433.44
Т200013731;Золото;3.57;23;0;375;obruchalnye;1479.02
Т200013731;Золото;3.2;22,5;0;375;obruchalnye;1325.73
Т200013731;Золото;3.33;23;0;375;obruchalnye;1379.59
Т200013731;Золото;3.14;21;0;375;obruchalnye;1300.87
Т200013731;Золото;2.56;16,5;0;375;obruchalnye;1060.58
Т200013731;Золото;2.71;18;0;375;obruchalnye;1122.73
Т200013731;Золото;3.07;20,5;0;375;obruchalnye;1271.87
Т10001225;Золото;2.23;15,5;0;585;obruchalnye;946.14
Т10001225;Золото;2.23;15,5;0;585;obruchalnye;946.14
Т10001225;Золото;2.25;16;0;585;obruchalnye;954.63
Т10001225;Золото;2.25;16;0;585;obruchalnye;954.63
Т10001225;Золото;3.01;21,5;0;585;obruchalnye;1277.08
Т10001225;Золото;2.15;15;0;585;obruchalnye;912.2
Т10001225;Золото;2.15;15;0;585;obruchalnye;912.2
Т10001225;Золото;2.35;17;0;585;obruchalnye;997.06
Т10001225;Золото;2.16;15;0;585;obruchalnye;916.44
Т10001225;Золото;2.16;15;0;585;obruchalnye;1203.42
Т10001225;Золото;2.36;17;0;585;obruchalnye;1001.3
Т10001225;Золото;2.46;18;0;585;obruchalnye;1043.73
Т10001225;Золото;2.38;16,5;0;585;obruchalnye;1009.79
Т10001225;Золото;3.03;21,5;0;585;obruchalnye;1285.57
Т10001225;Золото;2.31;16;0;585;obruchalnye;980.09
Т10001225;Золото;2.09;16;0;585;obruchalnye;1164.42
Т10001225;Золото;2.1;16;0;585;obruchalnye;890.99
Т10001225;Золото;2.23;16,5;0;585;obruchalnye;946.14
Т10001225;Золото;3;23;0;585;obruchalnye;1272.84
Т10001225;Золото;2.1;15;0;585;obruchalnye;890.99
Т10001225;Золото;2.19;16,5;0;585;obruchalnye;929.17
Т10001225;Золото;3.07;23;0;585;obruchalnye;1302.54
Т10001225;Золото;2.05;15,5;0;585;obruchalnye;869.77
Т10001225;Золото;2.05;15,5;0;585;obruchalnye;869.77
Т10001225;Золото;2.16;16;0;585;obruchalnye;916.44
Т10001225;Золото;2.18;16,5;0;585;obruchalnye;924.93
Т10001225;Золото;2.2;16,5;0;585;obruchalnye;933.42
Т10001225;Золото;2.08;15,5;0;585;obruchalnye;882.5
Т10001225;Золото;2.08;15,5;0;585;obruchalnye;882.5
Т10001225;Золото;2.08;16;0;585;obruchalnye;882.5
Т10001225;Золото;3.02;23;0;585;obruchalnye;1281.33
Т10001225;Золото;2.45;18;0;585;obruchalnye;1039.49
Т10001225;Золото;2.45;18;0;585;obruchalnye;1039.49
Т10001225;Золото;2.31;16,5;0;585;obruchalnye;980.09
Т10001225;Золото;2.32;16,5;0;585;obruchalnye;984.33
Т10001225;Золото;3;22;0;585;obruchalnye;1272.84
Т10001225;Золото;1.94;15;0;585;obruchalnye;823.1
Т10001225;Золото;2.24;15;0;585;obruchalnye;1247.99
Т10001225;Золото;2.74;21;0;585;obruchalnye;1526.56
Т10001225;Золото;2.05;15;0;585;obruchalnye;1142.14
Т10001225;Золото;2;15;0;585;obruchalnye;1114.28
Т107017273;Золото;0.64;16,5;0;585;pomolvochnye;442.58
Т130013978;Золото;2.65;22,5;0;585;obruchalnye;1166
Т130013978;Золото;1.79;15;0;585;obruchalnye;787.6
Т130013978;Золото;1.75;15;0;585;obruchalnye;770
Т130013978;Золото;1.75;15;0;585;obruchalnye;770
Т130013978;Золото;1.83;15;0;585;obruchalnye;805.2
Т130013978;Золото;1.72;15;0;585;obruchalnye;756.8
